region,예측대상수,평균점수_A,평균점수_B,A상위10퍼센트비율,위험판정0건지역
충청남도 계룡시,14,0.0035725846639740747,0.01826434295930595,0.0,False
경기도 여주시,12,0.0020691349671041956,0.017237741647741334,0.08333333333333333,True
경상남도 사천시,12,0.043759321114595136,0.0694018338297616,0.5,True
경기도 광명시,12,0.002197916438471604,0.028611172554030253,0.0,True
충청남도 부여군,12,0.02564397883244871,0.01623339394131704,0.0,False
충청남도 예산군,12,0.020903762073872983,0.013041784570060602,0.08333333333333333,False
경기도 의왕시,11,0.004298409306705817,0.017076212165703597,0.09090909090909091,True
경상남도 고성군,10,0.003992366473211642,0.030949458903237026,0.1,False
충청북도 진천군,10,0.014774776743792429,0.017168545196923762,0.1,False
전북특별자치도 진안군,9,0.01079222672567318,0.02113655790222098,0.1111111111111111,False
전남광주통합특별시 무안군,9,0.004439073368591628,0.01579642755227906,0.0,True
경상북도 의성군,9,0.0085789214673615,0.033826185082314976,0.4444444444444444,False
경기도 군포시,9,0.0033574888628993935,0.01827532443337327,0.0,False
경기도 안성시,9,0.0018631495278967124,0.013494436288883947,0.0,True
경기도 동두천시,9,0.003544581819414888,0.011613666267502855,0.0,False
경기도 양평군,8,0.004222879314089458,0.05435344616448606,0.125,True
경상북도 울진군,8,0.007062243571491942,0.025092049371695166,0.125,False
전남광주통합특별시 영암군,8,0.007458379295639013,0.022261291907524728,0.0,False
전북특별자치도 고창군,8,0.009342434731870861,0.07715321336625151,1.0,False
충청남도 홍성군,8,0.01862791015780765,0.034609672086299455,0.125,False
경기도 포천시,8,0.005647675959929622,0.053611596988611857,0.5,True
경상북도 고령군,7,0.0072251859873919706,0.10903459517235785,0.7142857142857143,False
강원특별자치도 삼척시,7,0.0026394939695076384,0.01743368204639682,0.0,False
경상남도 거창군,7,0.017829668773744083,0.014648447475830153,0.0,False
충청남도 보령시,7,0.0024113732066830375,0.023400478646737635,0.14285714285714285,True
경상북도 안동시,7,0.004831659724279834,0.013309927761011408,0.0,False
경상남도 합천군,7,0.018751284870972974,0.040123220533629975,0.42857142857142855,False
부산광역시 동구,7,0.00724980154994731,0.021574787943275102,0.0,False
전남광주통합특별시 영광군,7,0.004374133083640405,0.013150269434879748,0.0,False
전남광주통합특별시 장성군,6,0.02953234596877169,0.014872700919259756,0.0,False
전남광주통합특별시 곡성군,6,0.03403854820058944,0.06973443187810649,0.6666666666666666,False
경상남도 남해군,6,0.004706806816235511,0.02575184130858067,0.0,False
경상북도 상주시,6,0.003603596875888773,0.01988123809922342,0.0,False
전남광주통합특별시 담양군,6,0.004317848835399081,0.03466552000823921,0.16666666666666666,False
충청남도 공주시,6,0.03657067364580104,0.04223539573159349,0.3333333333333333,False
강원특별자치도 철원군,6,0.0028638144449029622,0.023620586585930834,0.0,False
인천광역시 강화군,5,0.015609464420504787,0.053377490803339776,0.4,False
충청북도 영동군,5,0.09106509805043403,0.017751424597150352,0.8,False
전북특별자치도 순창군,5,0.003770284517998675,0.030872468319490153,0.6,False
경상남도 의령군,5,0.1369727247509015,0.11995738922898916,1.0,False
경상남도 밀양시,5,0.003747801355833433,0.04606122887503698,0.2,False
경기도 과천시,5,0.002664387219687511,0.014680757433155733,0.0,False
강원특별자치도 인제군,5,0.029387078260988263,0.03749232630634997,0.2,False
전북특별자치도 완주군,5,0.007680850012442913,0.012895095062966022,0.0,False
전남광주통합특별시 완도군,4,0.23572363674384045,0.1258777155526328,0.75,False
강원특별자치도 양양군,4,0.012995443634589121,0.08892969855325503,0.75,False
강원특별자치도 강원특별자치도,3,0.05332995438725217,0.11551257168853281,1.0,False
강원특별자치도 양구군,3,0.011800050060683659,0.02542980562941047,0.3333333333333333,False
경상북도 청도군,3,0.0053815337665512305,0.04449887851110657,0.3333333333333333,False
경상북도 청송군,3,0.0050056343863683385,0.03876774926237064,1.0,False
경상북도 영덕군,3,0.010868581065154023,0.043678338896814835,0.6666666666666666,False
경기도 가평군,3,0.0025937246495647995,0.017241372905584154,0.3333333333333333,False
대구광역시 군위군,3,0.005350121416610988,0.05395804511720186,0.6666666666666666,False
경상북도 영양군,3,0.007521596082024236,0.044142241305989795,0.3333333333333333,False
경상북도 울릉군,3,0.011965111270333971,0.01841457147411145,0.0,False
충청북도 충청북도,3,0.0051217656698234705,0.20621562208601862,1.0,False
충청북도 옥천군,3,0.005167063630929191,0.021289872242202603,0.0,False
인천광역시 옹진군,3,0.07405739500183348,0.019414908934230715,0.6666666666666666,False
전남광주통합특별시 고흥군,3,0.005104183045902576,0.01751450462365334,0.0,False
충청북도 증평군,3,0.003377187289678212,0.015015422303419618,0.0,False
전남광주통합특별시 구례군,3,0.0032316356272618332,0.01378352754289098,0.0,False
전남광주통합특별시 화순군,3,0.03650806626039716,0.014528540883088283,0.3333333333333333,False
